0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
9,9,,Risk:- The Council’s ability to cope with a natural disaster. Effects:- Natural disaster; malicious or accidental incident affects support required by civilians or disrupts existing Council services.,5,5,,4,4,,20,20,, Emergency plan  Emergency planning exercises beyond the district  Business continuity plans  Regular exercise and joint public sector workshops for Emergency Planning  Emergency Planning Communication s Strategy  Review of approach with partner organisations as a result of lessons learned from ‘near miss’ flood events.  Local Resilience Forum,4,4,,4,4,,16,16,,CMT, Regularly test Emergency Plan  Test Service Business Continuity Plans  Ensure key emergency planning staff attend regular liaison meetings and training,,Key senior staff attend regular multi-agency,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
4,4,,"Risk:- Failure of IT systems Effects:- Failure to secure and manage data leads to loss of/ corruption of / inaccuracy of data, results in disruption to services and breaches of security. A further consequence could be financial penalties and reputational risk.",5,5,,5,5,,25,,,, Data protection,,4,4,,3,3,,12,,,Carol Pilson / Peter Catchpole, Effective auditing of systems and data held.  Data backed-up securely off-site.  Regular penetration testing.  Regular review of business continuity plans  Disaster Recovery testing is undertaken at regular intervals,"GDPR is live, see risk 1. An additional internet feed to Fenland Hall has been installed to improve resilience. The likelihood score has been reviewed and increased due to the increase globally of cyber crime The Council’s internet and email protocols have been updated.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
6,6,,,Risk:-,,5,5,,5,5,,25,25,, Anti-virus software  Geographically distributed servers  Tested disaster recovery plan  Back-ups stored off site  Secondary power supply  Revised security policies  Critical services’ business continuity plans include manual operation,4,4,,3,3,,12,,,Peter Catchpole, Effective auditing of systems and data held.  Data backed-up securely off-site.  Regular penetration testing.,"The Council has subscribed to the National Cyber Security Centre’s (NCSC) Web Check service that helps public sector organisations fix website threats. This service regularly scans public sector websites to check if they are secure. NCSC have advised that the Fenland Council site is secure. Council IT systems and website are as secure as possible with current anti-attack software and processes up to date. When vulnerabilities are made known by software vendors, software is updated to reduce the risk of malicious attack. The likelihood score has been reviewed and increased due to the increase globally of cyber crime",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
17,17,,Risk:- Political changes in national priorities Effects:- Changes in national political priorities may result in immediate changes that require additional resource to achieve and fail to reflect priorities determined by consultation.,5,5,,4,4,,20,20,,, Financial &,,3,3,,4,4,,12,,,Paul Medd," Understanding and acting on intelligence from LGA, CIPFA and other local government sources.  Resources identified, approved and implemented without delay.  Constant monitoring  Horizon scanning via professional bodies  Joint/collaborative working","The risks of legislative change remain high as a result of the effects of the ongoing Brexit transition process, albeit that Brexit itself has been identified as a risk to the Council. (see reference number 2) The recent election has lessened the potential likelihood of significant changes, but the Council will continue to scrutinise this.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
3,3,,Risk:- Failure of contractors and suppliers working on the Council’s behalf Effects:- Failure of contractor or partners to deliver services or meet agreed performance objectives leads to additional costs or failed objectives.,4,4,,4,4,,16,,, Procurement processes – including financial aspects/ contract standing orders/ equality standards  Contract process – creation of robust contracts  Accountability and risk ownership documented  Service Level Agreements  Contract monitoring  Trained/skilled staff  Project management  Relationship Management  Business Continuity Plans,3,3,,4,4,,12,12,,CMT, Regular monitoring of contracts and performance by Managers.  Ensure that contracts have risk registers and mitigation in event of contract failure.,,The Leisure service was outsourced in December,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
10,10,,"Risk:- Major health and safety incident Effects:- Major Health & Safety incident at Council leads to costs for inquiry, disruption to service and possible prosecution",4,4,,4,4,,16,16,,, Health & Safety,,4,4,,3,3,,12,12,,CMT, Ensure health and safety is standard agenda on all team meetings.  Ensure equipment inventory and inspections are up to date.  Review Risk Assessments and Action Plans.  Capture Port near misses and asses learning points,A thorough Health and Safety regime at the Council ensures that the residual risk remains carefully managed Programme of targeted health and safety refresher training is in place as per service specification Flu jabs are being provided for employees,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
16 Fen,16,,"Risk:- Service provision affected by organisational change Effects:- Service provision and performance affected by organisational change, industrial action and/or staff sickness resulting in complaints, poor performance and possible further costs. land District Council",4 – Co,4,,5 rpora,5,,20 te Ris,20,, Working environment / org culture  Staff Committee  Consultation with Staff Side  Flexible working  Established suite of people policies & procedures  Business continuity plans  Management training  “Springboard” appraisal for all staff support and development  CMT monitor and lead on human resource management.  Regular performance monitoring and management  IIP  Access to interim arrangements  Robust sickness absence management  Project management processes k Register – Update,3 d July,3,,4 2019,4,,12 - Pa,12,,Peter Catchpole ge 14 of 29," Business continuity plans for each service.  Culture of Council remains effective  Workforce planning, which includes succession planning for key roles an talent management  A comprehensive programme of health surveillance for groups of employees who work in certain service areas (e.g. refuse drivers, workshop, port staff, etc.)  Trained Mental Health First Aiders in place  Stress awareness training  Resilience training  Staff engagement and consultation processes","Plans regularly checked and tested. Services have reviewed their Business Continuity Plans in the light of wider local government lessons learnt from the Grenfell Tower fire. All services have up to date Business Continuity Plans in place. All organisational changes are considered by the senior management and a wider project group to ensure all service provision issues are properly considered and managed. This project management approach is maintained for all such changes/programmes. The Council has a health and wellbeing programme in place which supports the existing suite of Policies, Codes of Practices and processes, this includes a wide range of support to help promote and encourage their good health and wellbeing, such as:  A dedicated Occupational Health Advice and guidance support service available for all colleagues;  Access to a health care plan for all employees (at nil cost to the Council) to enable financial support to access a wide range of health care specialists and interventions (e.g. chiropractic services, dental treatment, acupuncture, reflexology, chiropody etc.)  A confidential Employee Assistance Programme (EAP), which provides a counselling service to staff where needed.  A dedicated on line platform offering a wide range of support and advice for all employees of a comprehensive range of issues.",,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,,d o o h ile k iL,,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,
1,1,,"Risk:- Legislative changes Effects:- Changes arising from Central Government or EU legislation requiring significant alteration to organisational capacity, such as impact of welfare reform and universal credit, effects of devolution, introduction of new burdens. Risk of GDPR breach and ICO sanction/fine",5,5,,5,5,,25,25,,, Monitoring,,2,2,,,5,5,,,10,10,,Carol Pilson, Use intelligence to identify impending changes and their effects.  Ensure staff trained and procedures changed.  Use professional networking to identify best practice for responding to change.  We respond to government consultations on changes to legislation or policy to influence its development.,"Officers continue to horizon-scan for legislative changes and their effects. The Council has compiled an Information Asset Register of all records it hold in both paper and electronic form, worked with IT system suppliers and conducted a staff awareness campaign to ensure that staff understand and are compliant with GDPR. The majority of information held by the Council is held with a legal basis for holding such as election and Council Tax records. All staff undergo GDPR training, and opportunities for further Member training in this area are currently being explored The Council now has a dedicated GDPR Officer, and each service is required to have a dedicated GDPR lead",,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
2,2,,"Risk:- Brexit Effects:- Uncertainty during transition period, followed by potential legislative, funding and policy changes after UK leaves EU may adversely affect the Council and its ability to provide services.",5,5,,5,5,,25,25,, Horizon scanning by Legal Services / CMT / Heads of Service  Financial & workforce planning  Membership of professional and Local Govt bodies aids horizon scanning  Management of change approach to mitigate against significant impact to the organisation and its staff  Detailed project plans to manage implementation of changes,2,2,,3,3,,6,6,,Peter Catchpole / Carol Pilson," Understanding and acting on intelligence from LGA, CIPFA and other local government sources.  Identifying policies that require changing, their effects and governance as Brexit effects start.",,Government Withdrawal Agreement Bill has been,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
8,8,,"Risk:- Funding changes make Council unsustainable Effects:- Economic changes, imposed savings requirements, changes to local government funding systems, uncertainties of pilot pension fund. Financial Mgt of NNDR, CTS leads to change in income /spending making Council unsustainable.",5,5,,5,5,,25,25,,     , S151/ Chief,,3,3,,3,3,,9,9,,Peter Catchpole," Using intelligence to model and plan for future changes and risks and move away from reliance on Govt funding to balance our budget.  Regular monitoring of current position and reporting to Members.  Workforce planning covers all scenarios.  Inclusion in national working groups, modelling and lobbying for funding system after RSG ceases.  Sharing Council’s Efficiency Plan with the Government allows guaranteed multi-year grant settlement raising funding certainty.  Shared services and partnership working","We are closely watching local government finance and the Council’s current budget and Medium Term Financial Plan reflects how the Council will balance its budget and maintain appropriate reserves. The Fair Funding Review and Business rate Retention Scheme is being reviewed nationally, and there is some potential for this to impact on the Council’s long-term financial position. The Council will continue to monitor the risk rating. The Council now has an agreed Commercialisation and Investment Strategy which will enable the Council to generate additional income. Each service is required to review and identify any opportunities for transformation, commercialisation and efficiency",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
11,11,,"Risk:- Fraud and error committed against the Council Effects:- Potential for fraud, corruption, malpractice or error, by internal or external threats. In additional to immediate financial loss, this could harm reputation and lead to additional inquiry costs and penalties.",5,5,,4,4,,20,20,, Anti-fraud & corruption policy/ strategy  Financial Regulations / Standing Ord  Codes of conduct  Appropriately trained staff  Appropriate culture and risk awareness  Segregation of duties  Supported financial mgt system  Budget monitoring regime  Internal Audit review of sys /and controls  Bribery & corruption / fraud risk assessments  Indemnity insurance  Whistle-blowing procedure  Annual Governance Statement  ARP fraud resource  National Fraud Initiative,3,3,,3,3,,9,9,,Peter Catchpole / Carol Pilson, Increase staff vigilance  Fraud awareness training for Managers  Raise profile internally and externally for successful prosecutions,"The Council has assisted with each annual National Fraud Initiative, cross-matching information with records held nationally. The Fraud team within the Anglia Revenues Partnership (ARP), have continued to work on this area, and identified £295,041 of fraud up until October 2019. Anti-Fraud and Corruption Strategy is currently being reviewed. A fraud awareness training programme for all staff is currently being developed The Council’s ICT systems have also been reviewed and updated to provide better protection against potential fraud – please see risk 6 (Page 21)",,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,,,Comments and progress of actions,,,,,,
13,13,,"Risk:- Failure of Governance in major partners or in the Council as a result of partnership working Effects:- Partnership governance not adopted or followed, leading to unachieved priorities and poor performance by major partner agencies:- Cambs and Peterborough Combined Authority, Anglia Revenues Partnership, CNC Building Control, Shared Planning, Payroll delivered by Bedford BC.",4,4,,5,5,,20,20,,," FSP, Fenland",,3,3,,3,3,,9,9,,Carol Pilson / Peter Catchpole,, Assurance that,,The Annual Governance Statement being reported to Corporate Governance Committee shows the Council is in a strong governance position. Scrutiny of ARP and Planning takes place on an annual basis and Cabinet members sit on Boards to ensure the effective delivery of partnership arrangements such as CNC Board for building control. .,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
14,14,,"Risk:- Failure to achieve required savings targets Effects:- Failure to achieve efficiency saving, maximise income, or performance targets, results in greater than budgeted costs and potential risk of Council not being able to set a balanced budget.",4,4,,5,5,,20,20,,, Heightened,,3,3,,3,3,,9,9,,CMT, Robust control of corporate Transformation Plan.  Regular progress reports and assurance to Members.  Service transformation projects  Commercialisation and Investment Strategy,Delivery of Council Efficiency targets continue including delivering savings planned for in the Council’s annual budget and medium term financial strategy. Cabinet have considered the Council’s projected positive financial outturn position.,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
18,18,,Risk:- Capital funding strategy failure Effects:- Financial risks of capital funding shortfalls leading to increased burden to the Council. Potential for marginal deficit in capital program if future funding is not realised,5,5,,4,4,,20,20,,, Asset mgt plan,,3,3,,3,3,,9,9,,Peter Catchpole, Forward planning and horizon scanning.  Regular high level monitoring of direction of travel and mitigation required.  Asset Management Plan.  Asset disposal strategy,"The Council’s capital funding programme is regularly reviewed by Officers and by Cabinet. The current projected funding deficit will be met by borrowing and the relevant annual financing cost has been included in the Council’s Medium Term Financial Plan. Should resources from external funding and/or capital receipts not generate the level of receipts forecast, or there is a delay in disposal of assets, then the capital programme will need re-visiting to ensure funding is sufficient to meet proposed expenditure. Reviews of the programme and resources available are carried out regularly during the year.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
19,19,,Risk:- Poor communications with stakeholders Effects:- Poor communication with stakeholders and staff leads to poorly informed direction of resources and lack of support for change Reputational damage Staff turnover Increased sickness absence,4,4,,5,5,,20,20,,, Internal and,,3,3,,3,3,,9,9,,Carol Pilson, CSE Action Plan.  Staff survey.  Public consultations on key issues.  3cs refresher training  Team meetings  “What’s Breaking” communication and “Horse’s Mouth” updates from the Chief Executive to all staff,"The Council’s CSE performance is assessed each year by an external expert. The Council has a dedicated project team to ensure ongoing progress against CSE requirements/actions across all service areas to ensure consistent and effective communication to our customers. All change projects are supported by a robust project management approach, which includes a communication programme to ensure that stakeholders are fully informed.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
20,20,,,Risk:-,,5,5,,4,4,,20,20,, Robust oversight and governance arrangements  Expert professional advice  Robust budget management  Thorough project management and business cases process,3,3,,3,3,,9,9,,CMT, All governance requirements have been put in place and will be robustly reviewed going forward,The Council’s Risk Appetite is currently being reviewed This new risk will be closely monitored to enable any new actions for mitigation to be identified and put in place,,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
12,12,,,Risk:-,,5,5,,4,4,,20,20,, Policy for maximum investment/ borrowing levels limits liability  Credit ratings  Financial management  Reserves  Insurance  Medium Term Financial Strategy  Treasury Management Strategy,2,2,,4,4,,8,8,,Peter Catchpole, Effective Treasury Management strategy.  Robust auditing of processes and policies.,The Council’s treasury management position is regularly reviewed and is currently showing a good position. The Treasury Management Strategy was considered is currently being reviewed. Updates are provided to Cabinet and Council on a half-yearly basis .,,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
5 Fen,5,,la,Risk:-,il,4 – Co,4,,5 rpora,5,,20 te Ris,20,, Learning & Development framework / Training  Working environment /culture  Staff Committee  MTSP  Flexible working  Established suite of people policies & Procedures  Business continuity plans  Management training  121s /Springboard staff development and appraisals  Service planning process  Access to interim staff via frameworks  Effective sickness management  Effective Governance structures k Register – Update,2 d July,2,,3 2019,3,,6 - Pa,6,,CMT ge 25 of 29," Ensure all services have effective Workforce plans incorporated into Service Plans, which ensure all work is prioritised  Effective succession planning.  Effective use of project management approaches/ principles when delivering priorities/ strategies","All services have published service plans, learning requirements and workforce plans for 2019-20 to ensure teams are staffed according to current establishment and to take account of priorities and longer-term trends.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,,,Comments and progress of actions,,,,,,,,
7,7,,Risk:- Lack of access to Council premises prevents services being delivered Effects:- Disruption of service provision.,5,5,,5,5,,25,25,, Alarm and security systems  Fire drills  Business continuity plans  Emergency planning network  ICT disaster recovery and offsite testing  Relocation procedures - critical and support services  Geographically distributed sites  Remote working  Statutory building inspection and checks  Corporate Business Continuity Plans,2,2,,3,3,,6,6,,Peter Catchpole,, Regularly test,,"Emergency plans – ongoing programme of review, testing and training of staff involved in a response Plans regularly checked and tested and emergency planning exercise was conducted last month. Improved ICT systems provide better/increased opportunities for remote/agile working",,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
15,15,,,Risk:-,,4,4,,5,5,,20,20,, Project Management methodology  Contract Standing Orders & Financial Regulations  Service plans  Budgetary control  Management and Portfolio Holder oversight,3,3,,2,2,,6,6,,CMT, Robust project management.  Effective risk registers for projects.,Effective project management remains a Council priority. Major projects are closely monitored by CMT and Cabinet members and progress is reported to Council via Portfolio Holder briefings.,,,,,,,,
4,,,,,SC,,,,,12-Failure of external investment institutions,,,4-Failure of IT systems 3- Failure of contractors and suppliers working on the Council’s behalf 16-Service provision affected by organisational change 17-Political changes in national priorities,,,9–The Councils ability to cope with a natural disaster,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,5-Insufficient staff to provide Council services 7-Lack of access to Council premises prevents services being delivered 2-Brexit,,,8-Funding changes make Council unsustainable 11-Fraud & error committed against Council 13-Failure of Governance in major partners/the Council as a result of partnership working 14-Failure to achieve required savings targets 18-Capital funding strategy failure 19-Poor communications with stakeholders 20-Failure of Commercialisation & Investment Strategy.,,,4-Failure of IT systems 6-Breach of ICT security causes loss of service 10-Major health and safety incident,,,,,,,,,,,,,,,,,,,
,,,,,,,,This,,heat map illustrates where,,,the corporate risks reside within,,,the organisations risk app,,etite,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,2,,,3,,4,,,5,,,,,,,,,,,,,,,,
